Ingredient1,Ingredient2,Cocktail_Count
almond flavoring,cranberry juice,1
ice,southern comfort,1
ice,sour mix,1
amaretto,lemon,1
amaretto,maraschino cherry,1
amaretto,baileys irish cream,1
baileys irish cream,cognac,1
sloe gin,southern comfort,1
fresh lemon juice,southern comfort,1
amaretto,fresh lemon juice,1
fresh lemon juice,sloe gin,1
amaretto,grand marnier,1
grand marnier,southern comfort,1
amaretto,dark creme de cacao,1
coffee,dark creme de cacao,1
amaretto,orange peel,1
orange peel,white wine,1
amaretto,white wine,1
orange juice,white wine,1
amaretto,lime,1
amaretto,club soda,1
amaretto,fresh lime juice,1
amaretto,white creme de menthe,1
sour mix,tequila,1
amaretto,tequila,1
cider,ice,1
amaretto,cider,1
cider,triple sec,1
amaretto,sweet and sour,1
amaretto,midori melon liqueur,1
midori melon liqueur,pineapple juice,1
amaretto,tea,1
tea,whipped cream,1
chocolate liqueur,milk,1
heavy cream,vodka,1
amaretto,heavy cream,1
amaretto,scotch,1
sloe gin,vodka,1
sloe gin,triple sec,1
cranberry juice,sloe gin,1
cranberry juice,triple sec,1
beer,orange juice,1
light cream,triple sec,1
creme de cacao,triple sec,1
amaretto,crown royal,1
amaretto,gin,1
chocolate liqueur,gin,1
coffee,jack daniels,1
jack daniels,whipped cream,1
amaretto,irish whiskey,1
cranberry juice,irish whiskey,1
amaretto,wild turkey,1
pineapple juice,wild turkey,1
amaretto,kool-aid,1
amaretto,rum,1
kool-aid,rum,1
angostura bitters,blood orange,1
angostura bitters,ruby port,1
amaro montenegro,angostura bitters,1
blood orange,orange peel,1
orange peel,ruby port,1
amaro montenegro,orange peel,1
blood orange,vodka,1
ruby port,vodka,1
amaro montenegro,vodka,1
blood orange,ruby port,1
amaro montenegro,blood orange,1
amaro montenegro,ruby port,1
orange juice,sweet vermouth,1
maraschino liqueur,rye whiskey,1
angostura bitters,dry vermouth,1
maraschino cherry,rye whiskey,1
angostura bitters,rye whiskey,1
angostura bitters,lemon peel,1
angostura bitters,cognac,1
angostura bitters,ginger beer,1
cognac,ginger beer,1
angostura bitters,falernum,1
angostura bitters,blackstrap rum,1
blackstrap rum,falernum,1
falernum,lime,1
blackstrap rum,lime,1
angostura bitters,st. germain,1
pepper,st. germain,1
lavender,st. germain,1
pineapple syrup,st. germain,1
pisco,st. germain,1
fresh lime juice,st. germain,1
angostura bitters,pepper,1
angostura bitters,lavender,1
angostura bitters,pineapple syrup,1
angostura bitters,pisco,1
lavender,pepper,1
pepper,pineapple syrup,1
pepper,pisco,1
lavender,pineapple syrup,1
lavender,pisco,1
fresh lime juice,lavender,1
pineapple syrup,pisco,1
fresh lime juice,pineapple syrup,1
fresh lime juice,pisco,1
angostura bitters,honey,1
honey,vodka,1
honey,tonic water,1
figs,honey,1
honey,thyme,1
angostura bitters,figs,1
angostura bitters,thyme,1
figs,vodka,1
thyme,vodka,1
figs,tonic water,1
thyme,tonic water,1
figs,thyme,1
bourbon,orange peel,1
bourbon,ice,1
bourbon,sweet vermouth,1
ice,orange peel,1
maraschino cherry,orange peel,1
ice,sweet vermouth,1
maraschino cherry,sweet vermouth,1
maraschino liqueur,sweet vermouth,1
club soda,mint,1
angostura bitters,club soda,1
angostura bitters,mint,1
dark rum,mint,1
angostura bitters,fresh lemon juice,1
angostura bitters,light rum,1
light rum,prosecco,1
angostura bitters,prosecco,1
prosecco,sugar syrup,1
angostura bitters,sugar,1
angostura bitters,water,1
gin,orange curacao,1
orange bitters,orange curacao,1
angostura bitters,orange bitters,1
fresh lime juice,orange bitters,1
angostura bitters,orange curacao,1
fresh lime juice,orange curacao,1
angostura bitters,pineapple juice,1
dark rum,sugar syrup,1
pineapple juice,sugar syrup,1
anis,blackberry brandy,1
dry vermouth,orange peel,1
bitters,orange peel,1
anis,orange peel,1
anis,bitters,1
anis,cherry,1
anis,maraschino liqueur,1
anis,orange bitters,1
anisette,lemon,1
anisette,light rum,1
anisette,grenadine,1
anisette,brandy,1
aperol,gin,1
aperol,fresh lime juice,1
apfelkorn,schweppes russchian,1
apfelkorn,cranberry vodka,1
apfelkorn,apple juice,1
apfelkorn,ice,1
cranberry vodka,schweppes russchian,1
apple juice,schweppes russchian,1
ice,schweppes russchian,1
apple juice,cranberry vodka,1
